brand,model,version,price,kilometraje,cylinder,city,region,year,fuel_type,transmission,doors,plate,description,only_owner,never_bumped,checked_maintenance,state
VOLKSWAGEN,TIGUAN,,15100000,95541,2.0,Las Condes,13,2018,gasolina,automatico,5,KJLS99,"Volkswagen Tiguan 2.0 TSI DSG Highline 7A 4Motion 2018

Información General
- Segunda Dueña
- Mantenciones en la marca
- 95.541 kms
- 2 llaves originales
- Revisado por Ojo Mecánico

Motor y Rendimiento
- Motor: 2.0 TSI (turboalimentado) de 4 cilindros.
- Potencia: Aproximadamente 220 caballos de fuerza.
- Transmisión: DSG automática de 7 velocidades.
- Tracción: 4Motion.
- Aceleración: 0-100 km/h en aproximadamente 6.5-7 segundos.
- Velocidad máxima: 210-220 km/h.

Diseño Exterior
- Faros LED: Luces delanteras y traseras full LED con tecnología adaptativa.
- Techo panorámico: Corredizo 
  
Interior y Confort
- Capacidad: 7 asientos 
- Tapicería: Cuero de alta calidad 
- Climatizador: Climatronic de 3 zonas
- Pantalla multimedia: Pantalla táctil de 8 pulgadas con conectividad Apple CarPlay y Android Auto, además de un sistema de navegación integrado.
- Calefacción de asientos piloto y copiloto
- Espejos eléctricos.

Seguridad
- Asistentes de conducción: Incluye control de crucero adapt",,True,True,1
FORD,RANGER,,8000000,234796,,Coquimbo,4,2011,,,,CWWP48,,,,,1
MITSUBISHI,L200,"DAKAR 2,4 LTS. CAMIONETA 4P. T/A 4X4 DIÉSEL",18990000,117000,2.4,Las Condes,13,2018,diesel,automatico,4,KCKV96,"DESCUENTA IVA...!!
DIESEL
TIPTRONIC
PADLE SHIFT
7 AIRBAG
ASIENTO ELECTRICO
CUERO
MANOS LIBRES
CONTROL DE ESTABILIDAD
START STOP ENGINE
KEYLESS
CLIMATIZADOR
CAMARA Y SENSOR DE RETROCESO
PANTALLA TOUCH
BLUETOOTH
ESPEJOS RETRACTILES
NEBLINEROS
RECIBO VEHICULO EN PARTE DE PAGO
CREDITOS AUTOMOTRIZ
TARJETAS DE CREDITO
SEGUROS AUTOMOTRIZ
TRAMITES NOTARIALES Y DIGITALES
WWW.AUTOMOTIVECONSULTING.CL",,True,,1
HYUNDAI,ATOS,,7200000,16000,,Macul,13,2022,,,,RAAR60,,,,,1
FORD,EXPLORER,,28970000,53953,2.3,Las Condes,13,2020,gasolina,automatico,5,PBBH86,"Ford Explorer 2.3 XLT Auto 4WD 2020

Información General:
- Único dueño.
- Mantenciones al día.
- 53.953 kms.
- 2 llaves originales

Motor y rendimiento:
- Motor: 2.3 litros turboalimentado de 4 cilindros.
- Potencia: Alrededor de 300 caballos de fuerza.
- Transmisión: Automática de 10 velocidades con modo manual.
- Tracción: Sistema 4WD.
- Consumo: Aproximadamente 10-11 km/l en condiciones mixtas.

Diseño exterior:
- SunRoof: Panorámico.

Interior y confort
- Capacidad: Para 7 pasajeros con asientos de cuero en tres filas.
- Tecnología: Pantalla táctil de 8 pulgadas compatible con Apple CarPlay y Android Auto. También incluye radio satelital, Bluetooth y puertos USB.
- Climatización: Control de clima automático de tres zonas, con calefacción de asientos en primera y segunda fila.
- Calefacción de manubrio
- Sistema KeyLess
- Espejos eléctricos
- Portalón eléctrico

Seguridad:
- Cámara trasera: Incluye cámara de visión trasera con sensores de estacionamiento.
- Airbags: Frontales, late",True,True,,1
JEEP,COMPASS,,9190000,150000,,Santiago,13,2024,,,,GCKS37,,,,,1
RENAULT,FLUENCE,,5750000,51000,,Macul,13,2012,,,,RAAR58,,,,,1
PORSCHE,CAYENNE,,7450000,167000,,Macul,13,2003,,,,RAAR57,,,,,1
AUDI,Q5,,11390000,103000,,Santiago,13,2021,,,,CSGK59,,,,,1
PEUGEOT,PARTNER,,8950000,100000,,Macul,13,2020,,,,RAAR55,,,,,1
SUZUKI,DZIRE,,7980000,55000,,Macul,13,2022,,,,RAAR53,,,,,1
VOLKSWAGEN,TIGUAN,,15100000,95541,2.0,Las Condes,13,2018,gasolina,automatico,5,KJLS99,"Volkswagen Tiguan 2.0 TSI DSG Highline 7A 4Motion 2018

Información General
- Segunda Dueña
- Mantenciones en la marca
- 95.541 kms
- 2 llaves originales
- Revisado por Ojo Mecánico

Motor y Rendimiento
- Motor: 2.0 TSI (turboalimentado) de 4 cilindros.
- Potencia: Aproximadamente 220 caballos de fuerza.
- Transmisión: DSG automática de 7 velocidades.
- Tracción: 4Motion.
- Aceleración: 0-100 km/h en aproximadamente 6.5-7 segundos.
- Velocidad máxima: 210-220 km/h.

Diseño Exterior
- Faros LED: Luces delanteras y traseras full LED con tecnología adaptativa.
- Techo panorámico: Corredizo 
  
Interior y Confort
- Capacidad: 7 asientos 
- Tapicería: Cuero de alta calidad 
- Climatizador: Climatronic de 3 zonas
- Pantalla multimedia: Pantalla táctil de 8 pulgadas con conectividad Apple CarPlay y Android Auto, además de un sistema de navegación integrado.
- Calefacción de asientos piloto y copiloto
- Espejos eléctricos.

Seguridad
- Asistentes de conducción: Incluye control de crucero adapt",,True,True,1
FORD,RANGER,,8000000,234796,,Coquimbo,4,2011,,,,CWWP48,,,,,1
KIA,RIO 4,,7780000,117000,,Macul,13,2017,,,,RAAR51,,,,,1
CHEVROLET,SPARK,,7250000,82000,,Macul,13,2021,,,,RAAR50,,,,,1
MITSUBISHI,L200,"DAKAR 2,4 LTS. CAMIONETA 4P. T/A 4X4 DIÉSEL",18990000,117000,2.4,Las Condes,13,2018,diesel,automatico,4,KCKV96,"DESCUENTA IVA...!!
DIESEL
TIPTRONIC
PADLE SHIFT
7 AIRBAG
ASIENTO ELECTRICO
CUERO
MANOS LIBRES
CONTROL DE ESTABILIDAD
START STOP ENGINE
KEYLESS
CLIMATIZADOR
CAMARA Y SENSOR DE RETROCESO
PANTALLA TOUCH
BLUETOOTH
ESPEJOS RETRACTILES
NEBLINEROS
RECIBO VEHICULO EN PARTE DE PAGO
CREDITOS AUTOMOTRIZ
TARJETAS DE CREDITO
SEGUROS AUTOMOTRIZ
TRAMITES NOTARIALES Y DIGITALES
WWW.AUTOMOTIVECONSULTING.CL",,True,,1
PEUGEOT,301,,12450000,36000,,Macul,13,2021,,,,RAAR49,,,,,1
NISSAN,X-TRAIL,,14500000,86000,,Macul,13,2021,,,,RAAR46,,,,,1
HONDA,WR-V,,13200000,9500,,Santiago,13,2024,,,,THZR82,,,,,1
KIA,CARENS,,11300000,92000,,Las Condes,13,2018,diesel,mecanico,4,XXXC50,"Diesel, única dueña, mantenciones y documentos al día, dos llaves, 3 filas de asientos, capacidad para 7 pasajeros.",True,,,1
PEUGEOT,208,,13970000,50788,1.2,Las Condes,13,2021,gasolina,automatico,5,PSYR37,"Peugeot 208 1.2 Puretech Auto 130HP Allure Pack 2021

Información General:
- Única dueña.
- Todas las mantenciones al día en la marca, menos la última
- 50.788 kms.
- 2 llaves originales.
- Precio conversable.

Motor y rendimiento
- Motor: 1.2 litros PureTech turboalimentado, de 3 cilindros.
- Potencia: 130 caballos de fuerza.
- Transmisión: Caja de cambios automática de 8 velocidades.
- Tracción: Delantera (FWD).
- Consumo de combustible: 18-20 km/l en condiciones mixtas.

Diseño exterior:
- Espejos exteriores: Eléctricos

Interior y confort
- Capacidad: Espacio para 5 ocupantes.
- Climatización: Sistema de climatización automática bi-zona.
- KeyLess

Seguridad
- Asistencias al conductor: Frenado automático de emergencia, alerta de cambio involuntario de carril.
- Asistencia de estacionamiento con sensores traseros, y cámara de reversa.
- Airbags: Frontales, laterales y de cortina para todos los ocupantes.
- Control de estabilidad: Control de estabilidad electrónico) y control de trac",True,True,,1
VOLVO,V60CC,"D4 2,4 LTS. STATION WAGON 5P. T/A 4X4 DIÉSEL",12980000,100800,2.4,Vitacura,13,2017,diesel,automatico,5,JLZC92,"Vehículo en impecable estado, full equipo, automático, versión V60 CROSS COUNTRY D4 AWD 2.4 AT, climatizador bizona, cuero, alzavidrios, sensor de retroceso cámara de retroceso, bluetooth, DIESEL, mantenciones al día. 

** Recibimos tu vehículo en parte de pago 
** Financiamiento Automotriz 
** Pago con Tarjeta de Crédito",,,,1
SUBARU,FORESTER,,25980000,36805,2.5,Las Condes,13,2022,gasolina,automatico,5,RYTJ47,"Subaru Forester 2.5I AWD CVT Limited Eyesight Gardx 2022

Información General:
- Único dueño
- Mantenciones al día
- 36.805 Kms
- 2 llaves originales

Motor y transmisión:
- Motor: 2.5 litros de cuatro cilindros bóxer.
- Potencia: 182 caballos de fuerza.
- Transmisión: Automática de variador continuo.
- Tracción: Sistema AWD.

Interior y confort:
- Asientos: Tapicería de cuero.
- Climatización: Control de clima automático.
- Tecnología: Sistema multimedia con pantalla táctil de 8 pulgadas, compatible con Apple CarPlay y Android Auto.
- Sonido: Sistema de audio premium Harman Kardon, con 9 altavoces.

Seguridad:
- Cámaras: Cámaras de visión trasera y delantera.
-  Sistema Isofix.
- Seguridad: Bolsas de aire frontales, laterales y de cortina, junto con frenos ABS y control de estabilidad electrónico.
- Sistema GardX: Protección avanzada de la pintura y el interior del vehículo contra factores externos como rayos UV, manchas y desgaste.

 Tecnología:
- Sistema EYESIGHT: Control crucero ad",True,True,,1
SUZUKI,DZIRE,,6500000,54000,,Macul,13,2018,,,,RAAR35,,,,,1
NISSAN,NP300,,15450000,132000,,Macul,13,2020,,,,RAAR40,,,,,1
JAC,JS2,,7990000,18500,,Cerrillos,13,2023,,,,SJSR42,,,,,1
SUZUKI,IGNIS,,8450000,80000,,Macul,13,2019,,,,RAAR34,,,,,1
M. BENZ,C,,12500000,171000,,Macul,13,2014,,,,RAAR27,,,,,1
PEUGEOT,PARTNER,,10750000,84000,,Macul,13,2020,,,,RAAR04,"Aire acondicionado
Alza vidrios
Motor Diésel 1.6
Neumáticos nuevos
Mantenciones al Dia
Excelente estado",,,,1
CHANGAN,CS75,,8190000,69100,,Cerrillos,13,2018,,,,KCCJ34,,,,,1
SUZUKI,DZIRE,,8600000,48000,,Macul,13,2019,,,,RAAR30,,,,,1
CHEVROLET,SAIL,,6850000,48000,,Macul,13,2020,,,,RAAR29,,,,,1
LAND ROVER,DISCOVERY,,32980000,53408,3.0,Las Condes,13,2018,gasolina,automatico,5,KJSG52,"Land Rover Discovery 3.0 S/C HSE Auto 7P 4WD 2018

Información General:
- Tercera dueña
- Mantenciones al día
- 53.408 kms
- 2 llaves originales

Motor y Rendimiento:
- Motor: 3.0 litros V6 Supercargado 
- Potencia: Aproximadamente 340 caballos de fuerza.
- Transmisión: Automática de 8 velocidades con levas en el volante para cambios manuales cuando sea necesario.
- Tracción: Integral permanente 4WD
- Aceleración: 0-100 km/h en alrededor de 7.1 segundos.
- Velocidad máxima: 209 km/h.

Diseño Exterior:
- Faros delanteros: Faros LED adaptativos con tecnología de luces altas automáticas.
- Llantas: Rines de aleación de 20 a 21 pulgadas.
- Techo panorámico.

Interior y Confort:
- Capacidad: 7 plazas en tres filas de asientos de cuero. Los asientos de la segunda y tercera fila son abatibles eléctricamente para ofrecer mayor versatilidad.
- Sistema de climatización: Climatizador automático de tres zonas.
- Pantalla táctil: Pantalla central de 10 pulgadas que incluye navegación GPS, conectivi",,True,,1
M. BENZ,E,,11950000,175000,,Macul,13,2011,,,,RAAR26,,,,,1
KIA,CERATO,,9900000,88000,,Macul,13,2017,,,,RAAR24,,,,,1
SSANGYONG,NEW REXTON,,15550000,119000,,Macul,13,2018,,,,RAAR03,"Station Wagon
Año 2018
Diesel
Mecánica
Cámara retroceso
sensor retroceso
Radio con Pantalla
3 Corridas Asiento
Mantenciones al día
119.xxx KMS
Full equipo",,,,1
RENAULT,SYMBOL,,7950000,13000,,Macul,13,2022,,,,RAAR06,"mecánico
Top de Linea
Climatizador
comando al volante
Radio con pantalla
Cámara Retroceso
Motor 1.6
Mantenciones al Dia
Excelente estado
Full",,,,1
VOLVO,V90,,35990000,33000,,Las Condes,13,2020,,,,PDVV34,,,,,1
CHERY,NEW IQ,,4900000,67000,,Macul,13,2019,,,,RAAR23,,,,,1
SUZUKI,CELERIO,,4100000,95000,,Macul,13,2012,,,,RAAR22,,,,,1
MAZDA,CX-5,"I-STOP 2,0 LTS. DOHC STATION WAGON 5P. T/A MOTOR OTTO",10980000,125600,2.0,Vitacura,13,2014,gasolina,automatico,5,GSDL77,"Vehículo en impecable estado, full equipo, automático, versión CX-5 R 2.0 AT SKYACTIV, climatizador, alzavidrios, cámara de retroceso, cámara de retroceso, bluetooth, bencina, mantenciones al día. 

** Recibimos tu vehículo en parte de pago 
** Financiamiento Automotriz
** Pago con Tarjeta de Crédito",,True,,1
NISSAN,X-TRAIL,,12900000,79000,,Macul,13,2018,,,,RAAR21,,,,,1
TOYOTA,RAV4,,14900000,1,,Macul,13,2020,,,,RAAR20,,,,,1
NISSAN,NAVARA,,21990000,61000,,Concepción,8,2022,,,,RZJW91,,,,,1
INFINITI,QX50,,25990000,36000,,Las Condes,13,2019,,,,LGRS97,,,,,1
MAZDA,6,,5900000,170000,,Independencia,13,2012,,,,DPJD96,,,,,1
RENAULT,SYMBOL,"1,6 LTS. SOHC SEDÁN 4P. T/M MOTOR OTTO",7480000,44000,1.6,Maipú,13,2021,gasolina,mecanico,4,PBFV97,"SE VENDE RENAULT SYMBOL

📱+56949448029

• Año:2021
• Kilometraje:44.000
• Combustible: GASOLINA
• Transmisión: Manual 
• Aire acondicionado 
• Sensores de retroceso 
• Llantas aro 15
• Comandos al volante
• Airbag Delanteros
• Asientos de tela
• Conexión a USB, auxiliar, Bluetooth 
• Dos copias de llaves
• Cierre centralizado
• ⁠Sistema isofix 

💲Precio:6.980.000
💲Pie:1.800.000
💲Precio al contado:7.480.000
Vendedor: Daniel Díaz 📱49448029
⏱️Atención Lunes a Domingo 10 am a 18 pm / Camino lonquen 9011 maipu Autoparque (previa coordinación)

💳 ACEPTAMOS PAGOS CON TARJETA DE CREDITO
🚗 RECIBIMOS AUTOS EN PARTE DE PAGO
🔐 GESTIONAMOS SEGURO AUTOMOTRIZ",,True,,1
AUDI,A4,"2,0 LTS. SEDÁN 4P",22500000,66000,2.0,Las Condes,13,2018,diesel,automatico,4,XXXC53,"Tablero digital con GPS incorporado.
Neumáticos nuevos, documentos al día.
Extremadamente económico, hasta 19 km/lt en ciudad.",,,,1
FORD,ECOSPORT,,9990000,69000,,Concepción,8,2018,,,,KFWS30,,,,,1
LAND ROVER,RANGE ROVER EVOQUE,,44990000,71000,2.0,Las Condes,13,2021,gasolina,automatico,5,XXXC51,"Impecable estado, único dueño, todos sus documentos al día, mantenciones en DITEC.

Versión muy completa P250 R Dynamic, interior bitono, 250 HP, techo panorámico.",True,,True,1
GREAT WALL,H3,,9490000,83000,2.0,Las Condes,13,2020,gasolina,mecanico,4,LWXG72,"Great Wall H3 2.0 
▪ Año: 2020
▪ Kilometraje: 83.000
▪ Dueños: 2
▪ Combustible: bencina 
▪ Transmisión: mecánica 
▪ $8.990.000 con crédito automotriz | pie desde $2.697.000 solicita evaluación tenemos respuesta en menos de 24 hrs. 
▪$9.490.000 al contado. 
▪Puedes pagar con Tarjeta de Crédito.

Descripción: Impecable mecánicamente y estéticamente, climatizador, pantalla touch con Bluetooth, comando al volante, alzavidrios eléctricos, doble airbag, sistema isofix, cierre centralizado, cámara de retroceso y sensor de retroceso, neblineros, neumáticos seminuevos impecables, etc. …",,,,1
M. BENZ,C300,,38990000,30000,,Concepción,8,2022,gasolina,automatico,,RSDP74,"Impecable estado, mantenciones en Kaufmann, garantía vigente, único dueño.",True,True,True,1
SANGYONG,NEW REXTON,,23990000,70000,,Concepción,8,2021,,,,RCYH66,,,,,1
BMW,335I,,19990000,64000,,Las Condes,13,2013,,,,XXXC49,"Impecable estado, dos llaves, documentos al día, neumáticos Michelin.",,,,1
GREAT WALL,POER,2.0 T/A 4X4,22990000,11000,2.0,Concepción,8,2023,diesel,automatico,4,XXXC21,"Great Wall Poer 🇨🇳
Versión Deluxe Diésel
Año 2023
Motor 2.0 turbo
4×4 Automática
11mil kms
1 dueño 2 llaves
Seminueva
Garantía vigente

$22.990.000 🔥

Esta camioneta tope de línea está full equipada, con radio Apple CarPlay/Android auto, volante en cuero, asientos delanteros calefaccionados, luces automáticas, neblineros, espejos eléctricos, limpiaparabrisas con sensor lluvia, partida remota a distancia, sensor punto ciego.",,,,1
CHEVROLET,GROOVE,1.5 6MT,11700000,16000,1.5,Las Condes,13,2022,gasolina,mecanico,4,XXXC47,"Impecable estado, prácticamente nuevo, único dueño, garantía vigente, mantenciones en la marca, documentos al día, dos llaves. Versión Premier, muy completo, techo panorámico, velocidad crucero.",True,,,1
FIAT,UNO,"SPORTING 1,4 LTS. DOHC HATCHBACK 5P. T/M MOTOR OTTO",7480000,64000,1.4,Maipú,13,2021,gasolina,mecanico,4,LSZY15,"FIAT UNO SPORTING 1.4 2020

📱+56949448029
• Año:2020
• Kilometraje:64000
• Combustible: Bencina 
• Transmisión: Manual 
• Aire acondicionado
• Sensores de retroceso 
• Comandos al volante
• Airbag Delanteros 
• Sistema isofix
• Asientos de tela
• Conexión a USB, auxiliar, Bluetooth 
• Dos copias de llaves
• ⁠Único dueño 
• ⁠Todos los documentos al día  

💲Precio con financiamineto:7.480.000
💲Pie min:1.870.000
💲Precio al contado:7.980.000
Vendedor: Daniel Díaz 📱49448029
⏱️Atención Lunes a Domingo 10 am a 18 pm / Camino lonquen 9011 maipu Autoparque (previa coordinación)

💳 ACEPTAMOS PAGOS CON TARJETA DE CREDITO
🚗 RECIBIMOS AUTOS EN PARTE DE PAGO
🔐 GESTIONAMOS SEGURO AUTOMOTRIZ SURA",True,True,,1
BMW,X1,,17490000,81000,2.0,Las Condes,13,2018,gasolina,automatico,,XXXC46,"Maravilloso, dos dueños, mantenciones al día, dos llaves, documentos al día, un lujo, motor 2.0 Turbo.",,,,1
NISSAN,NAVARA,,17990000,73000,,Las Condes,13,2021,diesel,mecanico,4,PYBP97," Vehículo solo de uso particular con su Pickup jamás cargado impecable, neumáticos 100% nuevos incluyendo el de repuesto, pantalla touch con apple CarPlay y Android auto, cámara de retroceso, climatizador  bizona, 6 Airbag, volante de cuero, comando al volante, sistema ECO, alzavidrios eléctricos, neblineros, llantas impecables, dos copias de llave,  corta corriente, sistema isofix, apoya vasos traseros y delanteros, barras antivuelco, lona marítima, velocidad crucero, etc. ",,,,1
KIA,SORENTO,,20290000,120000,2.2,Las Condes,13,2020,diesel,automatico,5,XXXC44,"Versión muy completa, diesel con 3 corridasde asiento. Techo panoramico, sensores de punto ciego, maleta automatica.",,,,1
SUBARU,OUTBACK,,16300000,129816,2.5,Las Condes,13,2019,gasolina,automatico,5,KSJG28,"Subaru Outback 2.5I CVT Auto Limited ES 4WD 2019 

Información General:
- Segunda dueña
- 129.816 kms
- 2 llaves originales
- Mantenciones al día, en la marca hasta los 45 mil.

Motor y Rendimiento:
- Motor: 2.5 litros, 4 cilindros en línea. 
- Potencia: Alrededor de 175 caballos de fuerza.
- Transmisión: Automática.
- Tracción: Integral permanente Symmetrical All-Wheel Drive (AWD).

Diseño Exterior:
- Faros: Delanteros LED adaptativos con función de encendido y apagado automático.
- Llantas: De aleación de 18 pulgadas.
- Espejos eléctricos.
- SunRoof

Interior y Confort:
- Asientos: Ajustables eléctricamente con 2 memoria de asiento en asiento piloto.
- Climatización: Automático bi zona.

Tecnología y Entretenimiento
- Sistema de infoentretenimiento: Equipado con una pantalla táctil de 8 pulgadas, compatible con Apple CarPlay y Android Auto.

Seguridad y Asistencia al Conductor:
- Frenado precolisión
- Control de crucero adaptativo
- Asistente de mantenimiento de carril
- Advertencia ",,True,,1
TOYOTA,RUSH,,12490000,17000,,Temuco,9,2021,,,,PGZC22,,,,,1
SSANGYONG,GRAND MUSSO,,25990000,44500,,Las Condes,13,2022,,,,RXVG31,,,,,1
KIA,SPORTAGE,,12990000,75000,2.0,Concepción,8,2018,gasolina,mecanico,4,XXXC41,"Kia Sportage 🇰🇷
Versión LX 2.0
Año 2018
2 dueños 2 llaves

Está SUV trae vidrios blindados, pisaderas, radio CarPlay, luces led, pantalla de techo HD, GPS a distancia a través de aplicación.",,,,1
M. BENZ,E200,,8990000,215000,,Vitacura,13,2009,,,,BYBY98,,,,,1
MAZDA,CX5,,11790000,142000,2.0,Concepción,8,2015,gasolina,mecanico,4,XXXC39,"Versión R 2.0
Año 2015
142mil kms
Mecánico
2 llaves

$11.790.000 🔥

Este japonés está con sus mantenciones al día, cuenta con neblineros, radio Bluetooth, cámara retroceso, Smart-key.",,,,1
JAGUAR,XE,,18990000,92000,2.5,Concepción,8,2019,gasolina,automatico,4,XXXC23,"Año 2019 92mil kms, automático.
Motor 2.5 turbo, asientos de cuero, sunroof, asientos calefaccionados, última mantención completa en la marca.

2 llaves 🔑",,,True,1
JEEP,GRAND CHEROKEE,,17990000,126000,3.6,Concepción,8,2019,gasolina,automatico,5,XXXC37,"Jeep Grand Cherokee 🇺🇸
Año 2019 126mil kms
Versión laredo 4×2
Motor 3.6 automático
6 airbags, radio carplay, luces full led.
2 dueño
2 llaves 🔑

$17.990.000 🔥",,,,1
FORD,ESCAPE,"3,0 XLT V6 DOHC 4X4 STATION WAGON 5P. T/A OTTO",4490000,140000,3.0,Chillán,16,2004,gasolina,automatico,5,CSJZ45,"SE VENDE 
FORD ESCAPE 2004 
IMPORTADO 
V6 3.0 AUTOMATICO 4X2 
4 AIRBAGS  
PRECIO CONVERSABLE",,True,,1
CHEVROLET,SILVERADO,Trailboss,34990000,41000,5.3,Concepción,8,2021,gasolina,automatico,4,XXXC36,"Chevrolet Silverado Z71 🇺🇸
Año 2021 versión trail boss
Motor 5.3 V8 4×4 AT
1 dueño 2 llaves
41mil kms
8 airbags, asientos calefaccionados, tapa retráctil, neumáticos all terrain Goodyear, en excelente estado chequeada ✔️",True,,,1
GREAT WALL,POER,,15290000,59000,,Las Condes,13,2022,,,,RSRL58,,,,,1
DODGE,RAM 1500,"5,7 HEMI MDS V8 OHV PICK UP 4P. 4X2 T/A MOTOR OTTO",19990000,148000,5.7,Temuco,9,2017,gasolina,automatico,4,JHKF71,"Full equipo, cuero, manubrio temperado, techo eléctrico, pantalla touch, camara y sensores de estacionamiento ",,True,,1
SUZUKI,BALENO,,8600000,83139,1.4,Las Condes,13,2018,gasolina,automatico,5,KRDK12,"Suzuki Baleno 1.4 GLX Auto 2018

Información General
- Único dueño
- 2 llaves originales
- 83.139 kms
- Mantenciones al día

Motor y Rendimiento
- Motor: 1.4 litros, 4 cilindros, 16 válvulas.
- Potencia: 91 caballos de fuerza aproximadamente
- Transmisión: Automática de 4 velocidades.
- Consumo de combustible: Aproximadamente 18 km/l en ciclo mixto.
- Suspensión: Delantera tipo MacPherson y trasera con barra de torsión.
- Frenos: Discos ventilados en la parte delantera y tambores en la parte trasera.

Exterior
- Espejos retrovisores: Eléctricos y plegables con señalizadores integrados.

Interior
- Capacidad: 5 pasajeros.
- Asientos: Ajuste manual de altura para el asiento del conductor, asiento trasero abatible 60/40.
- Volante: Forrado en cuero, con controles de audio y teléfono integrados.
- Climatización: Aire acondicionado automático.
- Entretenimiento: Sistema de audio con pantalla táctil de 7 pulgadas, conectividad Bluetooth, USB, y soporte para Apple CarPlay y Android Auto.

Seg",True,True,,1
